Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-11-03,79.36,79.53,77.79,78.29,15424600.0,0.0,1.0,10.240247463996,10.262183477969,10.037661923189,10.102179611344,107972200.0
2006-11-06,78.95,80.06,78.43,79.71,15520600.0,0.0,1.0,10.187342959709,10.330572227414,10.120244564028,10.285409845705,108644200.0
2006-11-07,80.45,81.0,80.13,80.51,18783300.0,0.0,1.0,10.380896024175,10.451865481145,10.339604703755,10.388638146753,131483100.0
2006-11-08,80.02,82.69,79.89,82.45,24675600.0,0.0,1.0,10.325410812361,10.66993526711,10.308636213441,10.638966776796,172729200.0
2006-11-09,82.9,84.69,82.12,83.34,32966200.0,0.0,1.0,10.697032696135,10.928006019731,10.596385102613,10.753808261712,230763400.0
2006-11-10,83.55,83.6,82.5,83.12,13352300.0,0.0,1.0,10.780905690737,10.787357459553,10.645418545611,10.725420478924,93466100.0
2006-11-13,83.22,84.45,82.64,84.35,16095500.0,0.0,1.0,10.738324016555,10.897037529416,10.663483498295,10.884133991785,112668500.0
2006-11-14,84.8,85.0,83.9,85.0,21034100.0,0.0,1.0,10.942199911125,10.968006986387,10.826068072446,10.968006986387,147238700.0
2006-11-15,85.05,85.9,84.0,84.05,23404400.0,0.0,1.0,10.974458755203,11.084138825067,10.838971610077,10.845423378892,163830800.0
2006-11-16,84.87,86.3,84.62,85.61,24783600.0,0.0,1.0,10.951232387467,11.135752975591,10.918973543389,11.046718565937,173485200.0
2006-11-17,85.145,85.94,85.0,85.85,16658000.0,0.0,1.0,10.986717115952,11.089300240119,10.968006986387,11.077687056251,116606000.0
2006-11-20,85.4,87.0,85.2,86.47,20385500.0,0.0,1.0,11.019621136911,11.226077739008,10.993814061649,11.157688989564,142698500.0
2006-11-21,87.42,88.6,87.11,88.6,22238100.0,0.0,1.0,11.280272597058,11.432534341105,11.240271630402,11.432534341105,155666700.0
2006-11-22,88.99,90.75,87.85,90.31,23997900.0,0.0,1.0,11.482858137866,11.709960400172,11.335757808872,11.653184834596,167985300.0
2006-11-24,89.53,93.08,89.5,91.63,18524200.0,0.0,1.0,11.552537241073,12.010612826976,11.548666179784,11.823511531325,129669400.0
2006-11-27,92.51,93.159,89.5,89.54,38387000.0,0.0,1.0,11.937062662479,12.020806621704,11.548666179784,11.553827594837,268709000.0
2006-11-28,90.36,91.97,89.91,91.81,37006200.0,0.0,1.0,11.659636603411,11.867383559271,11.601570684071,11.846737899061,259043400.0
2006-11-29,93.0,93.15,90.25,91.8,41324400.0,0.0,1.0,12.000289996871,12.019645303317,11.645442712017,11.845447545298,289270800.0
2006-11-30,92.215,92.68,91.06,91.66,31088800.0,0.0,1.0,11.898997226467,11.958998676451,11.749961366828,11.827382592615,217621600.0
2006-12-01,91.8,92.33,90.1,91.32,28395700.0,0.0,1.0,11.845447545298,11.913836294743,11.62608740557,11.783510564669,198769900.0
2006-12-04,91.88,92.05,90.5,91.12,25340600.0,0.0,1.0,11.855770375403,11.877706389376,11.677701556095,11.757703489407,177384200.0
2006-12-05,91.655,92.33,90.87,91.27,23672800.0,0.0,1.0,11.826737415733,11.913836294743,11.725444645329,11.777058795854,165709600.0
2006-12-06,90.645,91.39,89.67,89.83,22792300.0,0.0,1.0,11.69641168566,11.792543041011,11.570602193757,11.591247853967,159546100.0
2006-12-07,90.025,90.5,86.9,87.04,35886700.0,0.0,1.0,11.616409752347,11.677701556095,11.213174201377,11.23123915406,251206900.0
2006-12-08,87.23,89.39,87.0,88.26,28009900.0,0.0,1.0,11.255755875559,11.53447228839,11.226077739008,11.388662313159,196069300.0
2006-12-11,88.9,89.3,88.05,88.75,17849300.0,0.0,1.0,11.471244953998,11.522859104522,11.361564884134,11.451889647551,124945100.0
2006-12-12,88.61,88.84,85.53,86.14,36665000.0,0.0,1.0,11.433824694868,11.463502831419,11.036395735832,11.115107315381,256655000.0
2006-12-13,87.95,89.07,87.15,89.05,30609000.0,0.0,1.0,11.348661346503,11.493180967971,11.245433045455,11.490600260444,214263000.0
2006-12-14,89.05,90.0,88.26,88.55,29726100.0,0.0,1.0,11.490600260444,11.613183867939,11.388662313159,11.426082572289,208082700.0
2006-12-15,89.02,89.22,87.33,87.72,26426400.0,0.0,1.0,11.486729199155,11.512536274417,11.268659413191,11.318983209952,184984800.0
2006-12-18,87.625,88.0,84.59,85.47,25770600.0,0.0,1.0,11.306724849202,11.355113115318,10.9151024821,11.028653613253,180394200.0
2006-12-19,84.73,86.68,83.62,86.31,32550200.0,0.0,1.0,10.933167434783,11.184786418589,10.789938167079,11.137043329354,227851400.0
2006-12-20,86.47,86.67,84.74,84.76,20274700.0,0.0,1.0,11.157688989564,11.183496064826,10.934457788546,10.937038496073,141922900.0
2006-12-21,84.6956,85.48,82.2,82.9,32271400.0,0.0,1.0,10.928728617838,11.029943967016,10.606707932718,10.697032696135,225899800.0
2006-12-22,83.46,84.0391,81.6,82.2,21903700.0,0.0,1.0,10.769292506869,10.84401689329,10.529286706932,10.606707932718,153325900.0
2006-12-26,82.15,82.57,80.89,81.51,17524600.0,0.0,1.0,10.600256163902,10.654451021953,10.437671589751,10.517673523064,122672200.0
2006-12-27,78.15,82.0,76.77,81.52,69134100.0,0.0,1.0,10.084114658661,10.580900857456,9.9060458393523,10.518963876827,483938700.0
2006-12-28,80.22,81.25,79.65,80.87,39995600.0,0.0,1.0,10.351217887623,10.484124325223,10.277667723126,10.435090882225,279969200.0
2006-12-29,83.95,85.4,83.36,84.84,38443900.0,0.0,1.0,10.832519841261,11.019621136911,10.756388969238,10.947361326178,269107300.0
2007-01-03,86.29,86.58,81.9,83.8,44225700.0,0.0,1.0,11.134462621828,11.171882880958,10.567997319825,10.813164534815,309579900.0
2007-01-04,84.05,85.95,83.82,85.66,30259300.0,0.0,1.0,10.845423378892,11.090590593882,10.815745242341,11.053170334752,211815100.0
2007-01-05,85.77,86.2,84.4,85.05,29812200.0,0.0,1.0,11.067364226146,11.12284943796,10.890585760601,10.974458755203,208685400.0
2007-01-08,85.96,86.53,85.28,85.47,28468100.0,0.0,1.0,11.091880947645,11.165431112142,11.004136891754,11.028653613253,199276700.0
2007-01-09,86.45,92.98,85.15,92.57,119617800.0,0.0,1.0,11.155108282037,11.997709289344,10.987362292834,11.944804785057,837324600.0
2007-01-10,94.75,97.8,93.45,97.0,105460000.0,0.0,1.0,12.226101905414,12.619659803161,12.05835591621,12.516431502112,738220000.0
2007-01-11,95.94,96.78,95.1,95.8,51437600.0,0.0,1.0,12.379654003223,12.488043719324,12.271264287123,12.36158905054,360063200.0
2007-01-12,94.59,95.06,93.23,94.62,46881800.0,0.0,1.0,12.205456245204,12.26610287207,12.029968133422,12.209327306494,328172600.0
2007-01-16,95.68,97.25,95.45,97.1,44431300.0,0.0,1.0,12.346104805383,12.54869034619,12.316426668831,12.529335039743,311019100.0
2007-01-17,97.56,97.6,94.82,94.95,58795000.0,0.0,1.0,12.588691312846,12.593852727899,12.235134381756,12.251908980676,411565000.0
2007-01-18,92.1,92.11,89.05,89.07,84450200.0,0.0,1.0,11.884158158191,11.885448511954,11.490600260444,11.493180967971,591151400.0
2007-01-19,88.63,89.65,88.12,88.5,48731200.0,0.0,1.0,11.436405402394,11.568021486231,11.370597360476,11.419630803474,341118400.0
2007-01-22,89.14,89.16,85.65,86.79,51929500.0,0.0,1.0,11.502213444312,11.504794151839,11.051879980989,11.198980309983,363506500.0
2007-01-23,85.73,87.51,85.51,85.7,43122300.0,0.0,1.0,11.062202811094,11.291885780926,11.033815028306,11.058331749804,301856100.0
2007-01-24,86.68,87.15,86.08,86.7,33136200.0,0.0,1.0,11.184786418589,11.245433045455,11.107365192802,11.187367126115,231953400.0
2007-01-25,87.111,88.5,86.03,86.25,32356200.0,0.0,1.0,11.240400665779,11.419630803474,11.100913423987,11.129301206775,226493400.0
2007-01-26,87.115,87.37,84.99,85.38,35245500.0,0.0,1.0,11.240916807284,11.273820828243,10.966716632624,11.017040429385,246718500.0
2007-01-29,86.3,86.65,85.53,85.94,32202300.0,0.0,1.0,11.135752975591,11.180915357299,11.036395735832,11.089300240119,225416100.0
2007-01-30,86.43,86.49,85.25,85.55,20641800.0,0.0,1.0,11.152527574511,11.16026969709,11.000265830465,11.038976443358,144492600.0
2007-01-31,84.86,86.0,84.35,85.73,30573900.0,0.0,1.0,10.949942033704,11.097042362698,10.884133991785,11.062202811094,214017300.0
2007-02-01,86.23,86.27,84.74,84.74,23726500.0,0.0,1.0,11.126720499249,11.131881914301,10.934457788546,10.934457788546,166085500.0
2007-02-02,84.12,85.25,83.7,84.75,22197500.0,0.0,1.0,10.854455855234,11.000265830465,10.800260997184,10.93574814231,155382500.0
2007-02-05,84.3,85.23,83.94,83.94,20673300.0,0.0,1.0,10.87768222297,10.997685122939,10.831229487498,10.831229487498,144713100.0
2007-02-06,84.45,84.47,82.86,84.15,30871200.0,0.0,1.0,10.897037529416,10.899618236943,10.691871281083,10.858326916523,216098400.0
2007-02-07,84.48,86.38,83.55,86.15,38100900.0,0.0,1.0,10.900908590706,11.146075805696,10.780905690737,11.116397669144,266706300.0
2007-02-08,85.43,86.51,85.41,86.18,24251100.0,0.0,1.0,11.023492198201,11.162850404616,11.020911490674,11.120268730434,169757700.0
2007-02-09,85.88,86.2,83.21,83.27,30733600.0,0.0,1.0,11.08155811754,11.12284943796,10.737033662792,10.74477578537,215135200.0
2007-02-12,84.43,85.18,83.63,84.88,25859700.0,0.0,1.0,10.89445682189,10.991233354123,10.791228520842,10.95252274123,181017900.0
2007-02-13,85.16,85.29,84.3,84.7,20749500.0,0.0,1.0,10.988652646597,11.005427245517,10.87768222297,10.929296373494,145246500.0
2007-02-14,84.63,85.64,84.57,85.3,18142200.0,0.0,1.0,10.920263897152,11.050589627226,10.912521774574,11.00671759928,126995400.0
2007-02-15,85.44,85.62,84.78,85.21,12987900.0,0.0,1.0,11.024782551964,11.0480089197,10.939619203599,10.995104415412,90915300.0
2007-02-16,85.25,85.41,84.66,84.83,14281000.0,0.0,1.0,11.000265830465,11.020911490674,10.924134958442,10.946070972414,99967000.0
